title	type	time	format	place	teacher
Основы профессиональной деятельности	Лабораторная	8:20|9:50	fulltime	"Кронверкский пр., д.49, лит.А"|2112	Остапенко|Ольга|Денисовна
Основы профессиональной деятельности	Лабораторная	10:00|11:30	fulltime	"Кронверкский пр., д.49, лит.А"|2112	Остапенко|Ольга|Денисовна
Основы дискретной математики (базовый уровень)	Лекция	11:40|13:10	fulltime	"Кронверкский пр., д.49, лит.А"|2337	Поляков|Владимир|Иванович
Основы дискретной математики (базовый уровень)	Практика	13:30|15:00	fulltime	"Кронверкский пр., д.49, лит.А"|2337	Поляков|Владимир|Иванович
