Дата;Открытие;Макс;Мин;Закрытие
05.09.2018;106550;106550;106040;106270
05.09.2018;106270;106270;106170;106210
05.09.2018;106300;106300;106250;106250
05.09.2018;106250;106250;106250;106250
05.09.2018;106160;106160;106110;106110
05.09.2018;106230;106240;106200;106200
05.09.2018;106260;106260;106210;106210
05.09.2018;106300;106300;106280;106280
05.09.2018;106200;106210;106200;106210
05.09.2018;106250;106250;106170;106180
05.09.2018;106250;106250;106180;106180
05.09.2018;106200;106200;106200;106200
05.09.2018;106190;106190;106170;106170
05.09.2018;106160;106160;106160;106160
05.09.2018;106190;106260;106190;106260
05.09.2018;106220;106240;106220;106240
05.09.2018;106280;106350;106280;106350
05.09.2018;106400;106400;106400;106400
05.09.2018;106250;106260;106250;106260
05.09.2018;106250;106250;106240;106240
05.09.2018;106210;106210;106210;106210
05.09.2018;106300;106300;106300;106300
05.09.2018;106370;106370;106370;106370
05.09.2018;106400;106400;106400;106400
05.09.2018;106350;106350;106350;106350
05.09.2018;106380;106380;106380;106380
05.09.2018;106430;106470;106430;106470
05.09.2018;106410;106410;106410;106410
05.09.2018;106380;106380;106380;106380
05.09.2018;106380;106380;106380;106380
05.09.2018;106330;106330;106330;106330
05.09.2018;106360;106360;106350;106350
05.09.2018;106450;106450;106450;106450
05.09.2018;106550;106550;106550;106550
05.09.2018;106450;106450;106450;106450
05.09.2018;106600;106600;106600;106600
05.09.2018;106590;106590;106590;106590
05.09.2018;106530;106530;106530;106530
05.09.2018;106420;106420;106400;106400
05.09.2018;106350;106350;106350;106350
05.09.2018;106330;106330;106330;106330
05.09.2018;106320;106350;106280;106350
05.09.2018;106250;106250;106250;106250
05.09.2018;106270;106270;106270;106270
05.09.2018;106240;106240;106230;106230
05.09.2018;106280;106280;106280;106280
05.09.2018;106400;106400;106400;106400
05.09.2018;106450;106450;106390;106390
05.09.2018;106500;106500;106500;106500
05.09.2018;106400;106400;106400;106400
05.09.2018;106390;106390;106390;106390
05.09.2018;106430;106430;106430;106430
05.09.2018;106430;106430;106430;106430
05.09.2018;106490;106490;106490;106490
05.09.2018;106380;106380;106380;106380
05.09.2018;106340;106340;106340;106340
05.09.2018;106350;106350;106350;106350
05.09.2018;106400;106400;106400;106400
05.09.2018;106480;106480;106480;106480
05.09.2018;106460;106500;106460;106500
05.09.2018;106550;106550;106550;106550
05.09.2018;106560;106560;106560;106560
05.09.2018;106590;106590;106590;106590
05.09.2018;106630;106700;106630;106700
05.09.2018;106650;106650;106640;106640
05.09.2018;106640;106640;106640;106640
05.09.2018;106700;106700;106700;106700
05.09.2018;106700;106700;106700;106700
05.09.2018;106700;106800;106700;106780
05.09.2018;106750;106790;106750;106790
05.09.2018;106810;106820;106810;106820
05.09.2018;106830;106850;106830;106850
05.09.2018;106850;106860;106850;106860
05.09.2018;106860;106890;106860;106870
05.09.2018;106860;106870;106830;106830
05.09.2018;106850;106870;106850;106870
05.09.2018;106880;106880;106830;106830
05.09.2018;106860;106860;106850;106850
05.09.2018;106810;106810;106810;106810
05.09.2018;106780;106780;106780;106780
05.09.2018;106770;106770;106770;106770
05.09.2018;106700;106720;106700;106720
05.09.2018;106640;106640;106600;106600
05.09.2018;106560;106560;106550;106550
05.09.2018;106570;106570;106570;106570
05.09.2018;106560;106560;106560;106560
05.09.2018;106600;106600;106590;106600
05.09.2018;106600;106600;106600;106600
05.09.2018;106570;106570;106570;106570
05.09.2018;106540;106540;106520;106520
05.09.2018;106550;106550;106550;106550
05.09.2018;106570;106570;106570;106570
05.09.2018;106550;106550;106490;106490
05.09.2018;106600;106620;106600;106620
05.09.2018;106590;106590;106590;106590
05.09.2018;106640;106640;106640;106640
05.09.2018;106570;106570;106570;106570
05.09.2018;106570;106570;106570;106570
05.09.2018;106500;106500;106400;106400
05.09.2018;106340;106340;106300;106300
05.09.2018;106290;106320;106260;106320
05.09.2018;106310;106310;106310;106310
05.09.2018;106310;106380;106310;106380
05.09.2018;106390;106390;106390;106390
05.09.2018;106300;106300;106300;106300
05.09.2018;106450;106450;106450;106450
05.09.2018;106430;106430;106430;106430
05.09.2018;106430;106430;106430;106430
05.09.2018;106450;106450;106450;106450
05.09.2018;106470;106470;106470;106470
